date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI,month,month_sin,month_cos
2024-03-24,27.0,15.8,20.9,2.2,18.3,30.8375,59.12916666666666,772.0833333333334,38.80416666666667,9.095833333333331,70.79166666666667,87.79166666666667,3,1.0,6.123233995736766e-17
2024-03-25,28.1,14.8,21.4,0.0,16.8,22.741666666666664,38.141666666666666,783.4583333333334,35.47083333333333,6.608333333333333,67.875,89.75,3,1.0,6.123233995736766e-17
2024-03-26,29.0,14.3,21.3,0.2,17.2,22.15416666666667,35.62916666666667,676.7083333333334,29.9125,7.316666666666666,75.875,74.875,3,1.0,6.123233995736766e-17
2024-03-27,25.6,16.1,19.2,5.6,16.5,29.10833333333333,62.85416666666666,533.5,23.979166666666668,7.620833333333334,73.25,83.25,3,1.0,6.123233995736766e-17
2024-03-28,25.8,15.5,20.3,1.5,16.4,26.2625,53.85,646.6666666666666,27.945833333333336,9.466666666666669,71.25,82.25,3,1.0,6.123233995736766e-17
2024-03-29,25.4,15.1,20.5,0.7,26.9,21.704166666666666,49.05,412.4166666666667,19.0625,5.0125,67.08333333333333,83.125,3,1.0,6.123233995736766e-17
2024-03-30,21.7,14.9,17.6,26.3,20.9,16.958333333333332,47.29583333333333,297.25,12.941666666666668,4.7,78.70833333333333,66.91666666666667,3,1.0,6.123233995736766e-17
2024-03-31,23.1,12.5,17.2,0.0,15.3,17.191666666666666,40.55,515.0,25.15833333333333,6.108333333333333,71.875,64.70833333333333,3,1.0,6.123233995736766e-17
2024-04-01,26.0,14.2,19.4,0.0,12.5,18.929166666666667,32.6625,743.125,37.04583333333333,6.620833333333334,66.95833333333333,73.58333333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-02,27.1,13.4,20.2,0.0,11.0,20.475,31.620833333333334,817.3333333333334,41.66666666666666,7.183333333333334,65.91666666666667,75.95833333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-03,24.5,14.2,18.5,3.3,30.3,22.854166666666668,40.22916666666666,473.0833333333333,18.616666666666667,6.170833333333333,93.625,76.875,4,0.8660254037844388,-0.4999999999999998
2024-04-04,26.5,12.9,19.9,0.0,16.3,17.224999999999998,31.54583333333333,481.0,23.6125,5.658333333333334,87.45833333333333,73.58333333333333,4,0.8660254037844388,-0.4999999999999998
2024-04-05,27.6,15.9,20.9,0.0,17.3,19.829166666666666,34.30833333333333,634.875,32.2125,6.1625000000000005,72.91666666666667,75.41666666666667,4,0.8660254037844388,-0.4999999999999998
